nifi1_component,nifi2_equivalent,status,property_changes,recommended_config,examples,source_doc
DetectDuplicate,DetectDuplicate,active,"No se esperan cambios directos en las propiedades. La funcionalidad depende de un Controller Service de cache.","Asegurar que el DistributedMapCacheClientService configurado sea compatible con NiFi 2.0. Migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.DetectDuplicate/"
DistributeLoad,DistributeLoad,active,"No se esperan cambios directos en las propiedades.","Revisar la compatibilidad del entorno con Java 21 y migrar el uso de variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.DistributeLoad/"
DuplicateFlowFile,DuplicateFlowFile,active,"No se esperan cambios directos en las propiedades.","Revisar la compatibilidad del entorno con Java 21 y migrar el uso de variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.DuplicateFlowFile/"
EncodeContent,EncodeContent,active,"No se esperan cambios directos en las propiedades. Es el procesador moderno para codificación de contenido.","Revisar la compatibilidad del entorno con Java 21 y migrar el uso de variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.EncodeContent/"
EncryptContent,EncryptContent,active,"No hay cambios directos en el procesador, pero el ecosistema de desencriptación ha cambiado. Se debe asegurar la compatibilidad.","Verificar que los flujos de desencriptación usen los procesadores modernos como DecryptContent o DecryptContentCompatibility. Revisar compatibilidad con Java 21.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-security-nar/2.0.0-M3/org.apache.nifi.processors.security.EncryptContent/"
EncryptContentAge,EncryptContentAge,active,"No se esperan cambios directos en las propiedades. Es un procesador de encriptación moderno.","Revisar la compatibilidad del entorno con Java 21 y migrar el uso de variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-security-nar/2.0.0-M3/org.apache.nifi.processors.security.EncryptContentAge/"
EncryptContentPGP,EncryptContentPGP,active,"No se esperan cambios directos en las propiedades. La funcionalidad depende de un Controller Service de claves PGP.","Asegurar que el Controller Service de claves PGP (ej. StandardPGPPublicKeyService) sea compatible con NiFi 2.0. Revisar compatibilidad con Java 21.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-pgp-nar/2.0.0-M3/org.apache.nifi.processors.pgp.EncryptContentPGP/"
EnforceOrder,EnforceOrder,active,"No se esperan cambios directos en las propiedades.","Revisar la compatibilidad del entorno con Java 21 y migrar el uso de variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.EnforceOrder/"
EvaluateJsonPath,EvaluateJsonPath,active,"No se esperan cambios directos en las propiedades.","Revisar la compatibilidad del entorno con Java 21 y migrar el uso de variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.EvaluateJsonPath/"
EvaluateXPath,EvaluateXPath,active,"No se esperan cambios directos en las propiedades.","Revisar la compatibilidad del entorno con Java 21 y migrar el uso de variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.EvaluateXPath/"
EvaluateXQuery,EvaluateXQuery,active,"No se esperan cambios directos en las propiedades.","Revisar la compatibilidad del entorno con Java 21 y migrar el uso de variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.EvaluateXQuery/"
ExecuteGroovyScript,ExecuteGroovyScript,active,"No hay cambios directos en el procesador, pero el entorno de ejecución ha cambiado significativamente.","Asegurar que el script Groovy y todas sus dependencias sean compatibles con Java 21. Revisar posibles impactos por cambios en los motores de scripting de NiFi. Considerar la nueva API de Python como alternativa.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-groovyx-nar/2.0.0-M3/org.apache.nifi.processors.groovyx.ExecuteGroovyScript/"
ExecuteScript,ExecuteScript,changed,"Cambio drástico: El motor de scripting ECMAScript (JavaScript) ha sido eliminado. Otros motores como Jython, Lua y Ruby también fueron eliminados en NiFi 2.0.","Los scripts deben ser reescritos en un lenguaje soportado, principalmente Groovy. Como alternativa, se puede usar la nueva API de procesadores nativos de Python. La migración de scripts es un paso manual y crítico.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Deprecated+Components"
ExecuteSQLRecord,ExecuteSQLRecord,active,"No hay cambios directos en el procesador. La migración depende de los Controller Services asociados.","Asegurar que el DBCPConnectionPool y los Record Writer Services configurados sean compatibles con NiFi 2.0 y Java 21. Migrar variables a Parameter Contexts.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ExecuteSQLRecord/"
ExecuteStateless,Stateless execution at Process Group level,replaced,"El procesador individual ExecuteStateless ha sido eliminado y reemplazado por una nueva funcionalidad.","La ejecución sin estado ahora se configura a nivel de Process Group para definir límites transaccionales. Los flujos deben ser rediseñados para usar esta nueva característica en lugar del procesador dedicado.","N/A","https://ksolves.com/blog/apache-nifi-2-0-whats-new-and-how-to-migrate"
ExecuteStreamCommand,ExecuteStreamCommand,active,"No se esperan cambios directos en las propiedades.","Asegurar que el comando externo ejecutado sea compatible con el entorno Java 21. Migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ExecuteStreamCommand/"
ExtractAvroMetadata,ExtractAvroMetadata,active,"No se esperan cambios directos en las propiedades.","Revisar la compatibilidad del entorno con Java 21 y migrar el uso de variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-avro-nar/2.0.0-M3/org.apache.nifi.processors.avro.ExtractAvroMetadata/"
ExtractCCDAAttributes,Record-oriented processors,deprecated,"El procesador está obsoleto. La documentación oficial desaconseja parsear XML a atributos y recomienda un enfoque orientado a registros.","Refactorizar el flujo para usar procesadores orientados a registros (ej. ConvertRecord con un XMLReader) para procesar los datos CCDA. El procesador probablemente será eliminado en NiFi 2.0.","N/A","https://nifi.apache.org/docs/nifi-1.28.0/components/org.apache.nifi/nifi-health-nar/1.28.0/org.apache.nifi.processors.health.ExtractCCDAAttributes/"
ExtractEmailAttachments,ExtractEmailAttachments,active,"No se esperan cambios directos en las propiedades.","Revisar la compatibilidad del entorno con Java 21 y migrar el uso de variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-email-nar/2.0.0-M3/org.apache.nifi.processors.email.ExtractEmailAttachments/"
ExtractEmailHeaders,ExtractEmailHeaders,active,"No se esperan cambios directos en las propiedades.","Revisar la compatibilidad del entorno con Java 21 y migrar el uso de variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-email-nar/2.0.0-M3/org.apache.nifi.processors.email.ExtractEmailHeaders/"
ExtractGrok,ExtractGrok,active,"No se esperan cambios directos en las propiedades.","Revisar la compatibilidad del entorno con Java 21 y migrar el uso de variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ExtractGrok/"
ExtractHL7Attributes,ExtractHL7Attributes,active,"No se esperan cambios directos en las propiedades.","Revisar la compatibilidad del entorno con Java 21 y migrar el uso de variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-hl7-nar/2.0.0-M3/org.apache.nifi.processors.hl7.ExtractHL7Attributes/"
ExtractRecordSchema,ExtractRecordSchema,active,"No hay cambios directos en el procesador. La migración depende de los Record Readers asociados.","Asegurar que los Record Reader Services configurados sean compatibles con NiFi 2.0 y Java 21. Migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ExtractRecordSchema/"
ExtractText,ExtractText,active,"No se esperan cambios directos en las propiedades.","Revisar la compatibilidad del entorno con Java 21 y migrar el uso de variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ExtractText/"
ExtractTNEFAttachments,ExtractTNEFAttachments,active,"No se esperan cambios directos en las propiedades.","Revisar la compatibilidad del entorno con Java 21 y migrar el uso de variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-email-nar/2.0.0-M3/org.apache.nifi.processors.email.ExtractTNEFAttachments/"
FetchAzureBlobStorage,FetchAzureBlobStorage_v12,deprecated,"El procesador está obsoleto. Depende de un SDK de Azure antiguo.","Reemplazar por FetchAzureBlobStorage_v12. Asegurar la compatibilidad del entorno con Java 21 y configurar un AzureStorageCredentialsControllerService_v12.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-azure-nar/2.0.0-M3/org.apache.nifi.processors.azure.storage.FetchAzureBlobStorage_v12/"
FetchAzureBlobStorage_v12,FetchAzureBlobStorage_v12,active,"Es el procesador actualizado y recomendado para Azure Blob Storage. No se esperan cambios directos.","Asegurar la compatibilidad del entorno con Java 21 y configurar un AzureStorageCredentialsControllerService_v12.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-azure-nar/2.0.0-M3/org.apache.nifi.processors.azure.storage.FetchAzureBlobStorage_v12/"
FetchAzureDataLakeStorage,FetchAzureDataLakeStorage,active,"No se esperan cambios directos en las propiedades.","Revisar la compatibilidad del entorno con Java 21. Asegurar que el ADLSCredentialsService asociado sea compatible. Migrar variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-azure-nar/2.0.0-M3/org.apache.nifi.processors.azure.storage.FetchAzureDataLakeStorage/"
FetchBoxFile,FetchBoxFile,active,"No se esperan cambios directos en las propiedades.","Revisar la compatibilidad del entorno con Java 21 y migrar el uso de variables a Parameter Contexts si aplica. Asegurar que el StandardBoxClientService asociado sea compatible.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-box-nar/2.0.0-M3/org.apache.nifi.processors.box.FetchBoxFile/"
FetchDistributedMapCache,FetchDistributedMapCache,changed,"Los Controller Services asociados DistributedMapCacheServer y DistributedMapCacheClientService han sido renombrados a MapCacheServer y MapCacheClientService.","Actualizar las referencias a los Controller Services renombrados. Puede ser necesario crear nuevas instancias de MapCacheClientService.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.FetchDistributedMapCache/"
FetchDropbox,FetchDropbox,active,"No se esperan cambios directos en las propiedades.","Revisar la compatibilidad del entorno con Java 21 y migrar el uso de variables a Parameter Contexts si aplica. Asegurar que el StandardDropboxCredentialService asociado sea compatible.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-dropbox-nar/2.0.0-M3/org.apache.nifi.processors.dropbox.FetchDropbox/"
FetchElasticsearchHttp,GetElasticsearch,deprecated,"El procesador está obsoleto y puede ser eliminado en futuras versiones. Depende de una API HTTP antigua de Elasticsearch.","Reemplazar por GetElasticsearch. Revisar la compatibilidad del entorno con Java 21 y migrar el uso de variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-elasticsearch-restapi-nar/2.0.0-M3/org.apache.nifi.processors.elasticsearch.GetElasticsearch/"
FetchFile,FetchFile,active,"No se esperan cambios directos en las propiedades.","Revisar la compatibilidad del entorno con Java 21 y migrar el uso de variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.FetchFile/"
FilterAttribute,FilterAttribute,new,"Es un nuevo procesador introducido en NiFi 2.0.0-M2. Permite filtrar atributos de FlowFile.","Considerar su uso para la gestión de atributos en flujos de NiFi 2.0. No requiere migración de un procesador existente.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.FilterAttribute/"
FlattenJson,FlattenJson,active,"No se esperan cambios directos en las propiedades. Posible reubicación del componente.","Revisar la compatibilidad del entorno con Java 21 y migrar el uso de variables a Parameter Contexts si aplica. Verificar las coordenadas del bundle en flow.json.gz.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.FlattenJson/"
ForkEnrichment,ForkEnrichment,active,"No se esperan cambios directos en las propiedades. Funciona en conjunto con JoinEnrichment.","Revisar la compatibilidad del entorno con Java 21 y migrar el uso de variables a Parameter Contexts si aplica.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ForkEnrichment/"
ForkRecord,ForkRecord,active,"No se esperan cambios directos en las propiedades. Permite dividir un registro en múltiples registros.","Revisar la compatibilidad del entorno con Java 21 y migrar el uso de variables a Parameter Contexts si aplica. Asegurar que los Record Writers asociados sean compatibles.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ForkRecord/"
